"wl","FSS99","FSS80","FSS60","FSS40","FSS20","FSS10","FSS5","FSS2"
300,0.5,0.465358792553807,0.422241279859646,0.387652870640277,0.272745097364797,0.260060395549151,0.246805869736797,0.25
301,0.5,0.465236497005622,0.42281889597371,0.387932210886398,0.272930541428389,0.260231972741038,0.246808045440764,0.25
302,0.5,0.465329381318881,0.423239347186939,0.388441314943368,0.272962998242793,0.260305517398287,0.24675171781489,0.25
303,0.5,0.464791752905401,0.423057206720147,0.388375712881614,0.272990676439355,0.260306281878364,0.246766908565368,0.25
304,0.5,0.464803693817119,0.422841883529983,0.388261626324071,0.273045772844288,0.260240919899395,0.246681334148254,0.25
305,0.5,0.464694340396896,0.422371308297981,0.388054497957956,0.272977526124721,0.260133452799785,0.246703476367008,0.25
306,0.5,0.464554828013862,0.422017042696264,0.387549065910203,0.272968690840577,0.260094102103743,0.246761121984054,0.25
307,0.5,0.464724983951933,0.422093443490946,0.387447040282256,0.273054188090613,0.260064138447854,0.246901539458349,0.25
308,0.5,0.464724024570747,0.422056790934074,0.387420326682875,0.272929905864494,0.259997569717825,0.247036345363622,0.25
309,0.5,0.464499464921424,0.421547701719798,0.38686765402834,0.272759320410714,0.259813433036268,0.246957879718283,0.25
310,0.5,0.464511340911989,0.421303792824785,0.386841491044485,0.272546896640336,0.259628624209196,0.246855625633467,0.25
311,0.5,0.464316462978637,0.421004949957824,0.386720252329273,0.27243306195113,0.259701371853873,0.24675993170972,0.25
312,0.5,0.46436279384652,0.421317920029619,0.386835292550347,0.272539737585605,0.259756294957871,0.246728512483541,0.25
313,0.5,0.464377108367989,0.421884713241249,0.387099422407553,0.272735746077038,0.259924147097767,0.246853501678668,0.25
314,0.5,0.463952377120165,0.421901441451377,0.386995719776971,0.272875780216995,0.259933185490138,0.246970979652058,0.25
315,0.5,0.463914650310183,0.422399049267747,0.387259589876419,0.272850155685351,0.259854293359186,0.246922417998267,0.25
316,0.5,0.463688794750746,0.421944805180787,0.387021982997273,0.272679788185827,0.259825277766007,0.24689125270364,0.25
317,0.5,0.463347253965607,0.421369077158756,0.386931152714771,0.272554885662297,0.259725866221765,0.24687045394396,0.25
318,0.5,0.463174268004726,0.421363971807784,0.387084118675207,0.272582682952082,0.259605768187423,0.246752129630897,0.25
319,0.5,0.462877209414137,0.421142527902342,0.386885817837922,0.272661475489577,0.259660805998709,0.246892001075947,0.25
320,0.5,0.462411914081927,0.420885875026599,0.386601387038113,0.272822758631469,0.259755597943316,0.247104893784965,0.25
321,0.5,0.462413337653884,0.420538041924215,0.386295466442621,0.272818840812419,0.259661935589754,0.247142305958885,0.25
322,0.5,0.462522412326943,0.419968693458592,0.385762297036114,0.27262565370725,0.259773442998891,0.247182521234587,0.25
323,0.5,0.462196427519729,0.419180451184086,0.385097214711211,0.27240474339175,0.259735350710723,0.247116585987608,0.25
324,0.5,0.462030162659211,0.418839946748706,0.384852663270939,0.272196014751013,0.259527260926993,0.246859730147709,0.25
325,0.5,0.461952627387377,0.418540500384626,0.384566026100198,0.272063094350171,0.259521065001139,0.246736477374329,0.25
326,0.5,0.461338192800271,0.418309032497802,0.384458725235159,0.272103068364946,0.259527689979577,0.246747296386821,0.25
327,0.5,0.461345825322792,0.418326859152277,0.384600204352626,0.272160777831168,0.259521223111278,0.246708625129824,0.25
328,0.5,0.461218478831738,0.418194145045503,0.384466617909996,0.272088165590366,0.25954405948183,0.246812774151518,0.25
329,0.5,0.460901384478724,0.418518037486988,0.384771926802457,0.272103407800478,0.25961068431984,0.246862354863376,0.25
330,0.5,0.460811623714113,0.418535003032667,0.384695870315737,0.272160022033007,0.259647013207694,0.24692860889391,0.25
331,0.5,0.46048697535024,0.418321048516715,0.384559120942928,0.272217062495308,0.25962668747411,0.247057401684061,0.25
332,0.5,0.460206957909707,0.418354451129483,0.384465085811967,0.272254811691558,0.259568782056696,0.247022791416348,0.25
333,0.5,0.460078901299741,0.417993410341777,0.384318341973471,0.272163828749249,0.259503145026785,0.246955413954734,0.25
334,0.5,0.459990502627045,0.417634889705518,0.384198948726149,0.272088987331115,0.259404515012927,0.246979289073417,0.25
335,0.5,0.460025263593914,0.417561181557826,0.384105658589403,0.271965814805563,0.25932350692279,0.246875061859606,0.25
336,0.5,0.460046355690538,0.41710292466326,0.383843619899998,0.271939499201699,0.259253434117989,0.246730694184149,0.25
337,0.5,0.459821506983331,0.416888587615963,0.383489174696814,0.271868789971965,0.259178329462488,0.246704394279146,0.25
338,0.5,0.460022906127499,0.416835628747939,0.383345531589119,0.271811771895148,0.259125187348476,0.246628652828823,0.25
339,0.5,0.459837567505073,0.416834263207875,0.383396272593296,0.271824179350733,0.259146236751421,0.24659706557352,0.25
340,0.5,0.459762397071856,0.41685246004144,0.383462090566158,0.27184659725622,0.259202304331154,0.246672884942752,0.25
341,0.5,0.459892338832358,0.41716550472371,0.383694844553647,0.271945481914179,0.259258594836999,0.2468251086569,0.25
342,0.5,0.459644211758801,0.417177010291832,0.383584366060449,0.271934826487275,0.259264246235759,0.246835224079524,0.25
343,0.5,0.459797651572088,0.417106281855663,0.383402646511544,0.27188141804202,0.259217654813001,0.246845853717271,0.25
344,0.5,0.460029925078995,0.417561050216614,0.383730738140737,0.271820323002692,0.259192325386241,0.246827276609265,0.25
345,0.5,0.460112310738014,0.417485922909688,0.383685768468348,0.271785233828376,0.259205428622858,0.246744243567409,0.25
346,0.5,0.460340046422723,0.41756115288455,0.383885551454515,0.271831756282151,0.259161605212918,0.246669471194037,0.25
347,0.5,0.460245717069265,0.417369099865529,0.383760271403417,0.271802883439973,0.259140383693479,0.246669143052078,0.25
348,0.5,0.459932986095917,0.41712140675135,0.383524468158015,0.27195139414509,0.259185044342084,0.246811141228794,0.25
349,0.5,0.459813395660107,0.417123962163847,0.383480438845611,0.271964272699483,0.25914593484863,0.246869488010656,0.25
350,0.5,0.45967546009241,0.417083858976345,0.383408054557451,0.271885566913152,0.25919764769498,0.246966221936749,0.25
351,0.5,0.459908121323651,0.4173478684946,0.38347414720119,0.271788990663188,0.259167654815065,0.246956031624647,0.25
352,0.5,0.460415490749988,0.417457712894847,0.383581995125813,0.271588981379832,0.259045522486112,0.246785209724343,0.25
353,0.5,0.460552499781048,0.417226774639842,0.383433286275921,0.271478772431915,0.258929921473305,0.246704567301211,0.25
354,0.5,0.460918318599108,0.417457689077038,0.383370329407248,0.27146914507645,0.258854767348442,0.246678250959931,0.25
355,0.5,0.460980278738089,0.417525427350122,0.383472145804734,0.271536327552129,0.258790097401437,0.246642667678625,0.25
356,0.5,0.460914882907913,0.417060999238103,0.38297557938984,0.271417202311176,0.258776464324707,0.246648070868408,0.25
357,0.5,0.461161438227829,0.417273722333367,0.383095134786593,0.27135030787579,0.258816225977469,0.246662169924282,0.25
358,0.5,0.461074179044403,0.417113904138025,0.383159101819262,0.271312064878474,0.258868145563629,0.246696802986624,0.25
359,0.5,0.461261917055382,0.417288028836895,0.383134875974678,0.271282939356153,0.258911212268424,0.246736539777813,0.25
360,0.5,0.461442363906796,0.417488870728866,0.383301528616337,0.27127456595649,0.258860537902624,0.246736650588508,0.25
361,0.5,0.461584068711586,0.417236909118508,0.383092171605846,0.271146520801378,0.258738919221459,0.246695579928763,0.25
362,0.5,0.461789447773036,0.417305168244084,0.383129812610359,0.27111737428346,0.258710696209843,0.246666545600838,0.25
363,0.5,0.461828938708111,0.417232841322458,0.383138878903836,0.271093242381733,0.258689315751153,0.246651695818773,0.25
364,0.5,0.461847804872715,0.41733059690074,0.383251864712932,0.271179897773947,0.258696258519384,0.246663965276555,0.25
365,0.5,0.461644809151864,0.417673038659941,0.383510155865822,0.271398443211225,0.2587717865044,0.246737621605035,0.25
366,0.5,0.461457997323323,0.417725181075974,0.383376153144479,0.271367206976341,0.258729389951222,0.24665421015042,0.25
367,0.5,0.461365278055251,0.417630537814632,0.383450889678889,0.271361761238349,0.258713780148714,0.246642424117412,0.25
368,0.5,0.46139813638419,0.417635075721313,0.383460908148892,0.271437309740383,0.258840561868792,0.246677599571401,0.25
369,0.5,0.461388463527856,0.417254662189168,0.383373317016732,0.271400272554706,0.258852015431051,0.246690827414773,0.25
370,0.5,0.461504413270128,0.417378257724796,0.383517639531357,0.271469796945208,0.258876190355901,0.246712866111834,0.25
371,0.5,0.46153894381838,0.417434167240851,0.383453384412356,0.271445452488237,0.258885355472775,0.246702855847128,0.25
372,0.5,0.461511882647013,0.417448237694794,0.38337933018342,0.271424601510496,0.258825754965468,0.246691364275363,0.25
373,0.5,0.461752407044577,0.417834597814353,0.383487790822592,0.271463283710409,0.258806576997917,0.246618349082022,0.25
374,0.5,0.461685511156276,0.417461992259689,0.383236245484397,0.271399915050881,0.258763629553701,0.246631813906464,0.25
375,0.5,0.461696665088047,0.417482323622467,0.383247828693559,0.27133410174344,0.258616148014037,0.246588540124702,0.25
376,0.5,0.461662640420578,0.417544816865303,0.383310040981031,0.271172516849342,0.258541105634852,0.246561641340818,0.25
377,0.5,0.461672625642091,0.417354982525047,0.383120853482194,0.271032330446734,0.258528205736397,0.246589386803435,0.25
378,0.5,0.46181653551707,0.417602517296782,0.383358137921171,0.271069811641382,0.258518480665758,0.246639332674205,0.25
379,0.5,0.461776925590037,0.417620612183386,0.383335446690503,0.271141144666396,0.258626213566984,0.246701708693468,0.25
380,0.5,0.461782893996047,0.417544251100645,0.383205766624742,0.271119226303766,0.258628507198174,0.246615513076592,0.25
381,0.5,0.461650778829887,0.417615456000924,0.383320008833797,0.271182110977142,0.258642777435484,0.246580500139197,0.25
382,0.5,0.46160760922414,0.417559344847773,0.383171058035786,0.271151495534896,0.258686124849928,0.246567139930913,0.25
383,0.5,0.461553752026693,0.417478184881665,0.383155245624678,0.271080770946472,0.258629742237001,0.24653662753286,0.25
384,0.5,0.461570874070762,0.417576408335808,0.383216884075366,0.271106847242747,0.258652031549519,0.246615523249933,0.25
385,0.5,0.461556121571485,0.417573306698616,0.383156303071957,0.271074716908993,0.25864682702447,0.246627676004599,0.25
386,0.5,0.461651891810273,0.417682174921642,0.383123510840841,0.271029413562388,0.258625971927843,0.246680847058112,0.25
387,0.5,0.461802158436681,0.417929298324826,0.383244562444712,0.271017022552877,0.258661071524861,0.24670435363484,0.25
388,0.5,0.461810065408156,0.417919701147957,0.383214518418602,0.271013337598025,0.258603583691314,0.246663451550033,0.25
389,0.5,0.461998191204648,0.417952711884086,0.383189293421968,0.270979624456495,0.25856471730774,0.246630712710945,0.25
390,0.5,0.461883197785009,0.417853963921243,0.383234983462635,0.270959442336594,0.258538412326904,0.24656256393717,0.25
391,0.5,0.461823233952926,0.417644313752406,0.383128567633226,0.270954127763981,0.258506196259777,0.246577288129861,0.25
392,0.5,0.461992103375909,0.417489708385074,0.383100548748413,0.270934139190242,0.258521289176818,0.246623184877102,0.25
393,0.5,0.462044131127288,0.417670347723338,0.383273486400732,0.270954770350973,0.258526908650752,0.246658925011165,0.25
394,0.5,0.462148474101308,0.417681185953243,0.383292331236335,0.270946893368804,0.258485476781146,0.246660534639343,0.25
395,0.5,0.462211671907833,0.417748858895468,0.383255547342895,0.270924021477622,0.258475980499646,0.246651038191771,0.25
396,0.5,0.462094840302213,0.417773577921761,0.383267386215507,0.270894243854989,0.25845782680219,0.246642831029931,0.25
397,0.5,0.461828043582423,0.417469246714005,0.383057649629776,0.27088272833109,0.258413034869319,0.246628682855725,0.25
398,0.5,0.46182175408808,0.417482497025079,0.383000484565313,0.270906163028928,0.258438334336192,0.246643722966035,0.25
399,0.5,0.461773508787568,0.41742340726732,0.382963108557598,0.270972221663439,0.258438488205928,0.246633370599842,0.25
400,0.5,0.461829479896676,0.417435251740713,0.383065606995462,0.270994119545543,0.258475198358717,0.246623723847805,0.25
