"wl","black","white","cool.grey","burnt.umber","burnt.sienna","raw.sienna","X99","X80","X60","X40","X20","X10","X5","X2","yellow.ochre","olive.green","sap.green","viridian","phthalo.blue","prusian.blue","ultramarine","purple","crimson.lake","cad.red","cad.red.orange","cad.orange","yellow","lemon.yellow"
300,0.249698621879923,0.315968753325006,0.31005729961659,0.250082632235073,0.250263865287874,0.290583422629244,0.5,0.450497879840165,0.418432884262218,0.352380668090623,0.281077725903504,0.268067046697649,0.256195296354132,0.25,0.253801740569144,0.247461572936467,0.290664799376682,0.255154011403408,0.311020410320122,0.360609018366976,0.298528900246171,0.28235575554206,0.377666317573754,0.258768030125027,0.269069776608338,0.30940824835203,0.287044632794283,0.321303465031913
301,0.249692925390929,0.316695255581159,0.310508822928904,0.250161886106247,0.250365988474029,0.290738177122847,0.5,0.450463058227253,0.418458546490796,0.352610257621055,0.281197200068091,0.267994143696009,0.256191884518212,0.25,0.25406098010763,0.247695017560664,0.290977512164852,0.255425635948122,0.311433809176455,0.360837367535124,0.300840135238851,0.283687005308091,0.377922424502706,0.258724114962415,0.268978945280007,0.309800312750874,0.287176343299768,0.32180135088928
302,0.249506734154081,0.31773804397613,0.311076760728842,0.250368100819702,0.250542093617825,0.290848988149743,0.5,0.450613229921972,0.418746627127038,0.352787721710835,0.281447171825949,0.26816009773093,0.256379607208526,0.25,0.254272229325348,0.248070221165236,0.291243236804406,0.255619301847697,0.311682882668882,0.361336473003273,0.303267322674855,0.285016092704324,0.378211953797826,0.258646841119166,0.26909213413082,0.310381480511639,0.287423932531608,0.322378898501012
303,0.24948627449077,0.318419356008777,0.311499315637709,0.250368661603167,0.250612555680591,0.291002217065534,0.5,0.450151698126616,0.418712902317567,0.352807264998965,0.281518044536259,0.268080868825274,0.256546079014304,0.25,0.25428830311609,0.24827842685412,0.291345663628588,0.255458703927439,0.311373397610519,0.36087199754804,0.305292054044356,0.286052999277344,0.378265518963891,0.258364854104622,0.269073402877491,0.310743255187979,0.28722194839309,0.322213401303488
304,0.249345199904545,0.31931938746453,0.311882584506001,0.249986761485187,0.250292360260503,0.290771152422172,0.5,0.449894238529489,0.418379911990752,0.352665852033885,0.281646829738407,0.268226746137327,0.256734289930001,0.25,0.253759696191775,0.248049197101546,0.291035713381535,0.255107862554844,0.31049987886643,0.360101952699218,0.306987294159001,0.287461609803907,0.378478408520334,0.25856981237144,0.270017316027584,0.311534928623465,0.287449363849883,0.322405483788869
305,0.249238110658278,0.3201856910428,0.312287341185243,0.24958478025725,0.249926296358244,0.290735804616016,0.5,0.449602415097585,0.41812389057519,0.352587430517796,0.281651928705292,0.26821276261281,0.256690686385827,0.25,0.253366797129266,0.247878808757382,0.290856468033843,0.254625104686386,0.309718201297665,0.359338050372671,0.308989720145718,0.28867175149683,0.378528908700697,0.258454637344121,0.27090134251158,0.312079040301725,0.287443715197908,0.322138409535786
306,0.249243764242083,0.320399918268592,0.312158107987583,0.249607879377954,0.249923204373056,0.291084847105481,0.5,0.448901758810863,0.417396234912446,0.352137900533116,0.281712835597138,0.268127179520467,0.256463944259282,0.25,0.253353960160861,0.247960694699,0.291038145393989,0.254508017698758,0.30942097027625,0.358523622205426,0.310917509429236,0.290044115414615,0.378436220417317,0.258539536476643,0.272302722842562,0.312665263303038,0.28733352873274,0.321909310242007
307,0.249396612946508,0.320930887389228,0.312341743801619,0.249511647296148,0.249783941142356,0.290922529158274,0.5,0.448838568886558,0.417384185836586,0.35201091690532,0.28179204508126,0.268120149323241,0.256382633794154,0.25,0.253134476527241,0.247817405359941,0.290882338143631,0.254198473017512,0.308771170459395,0.357628503386084,0.312404030973132,0.291840462224714,0.378670223397714,0.25879776597513,0.274127978385292,0.313635538782844,0.287397874066859,0.32216047170149
308,0.249629833731096,0.321152585990109,0.312538130331333,0.249741770242885,0.249974289536946,0.29124056338852,0.5,0.448722129972319,0.417450692737799,0.351936713309241,0.281657417064802,0.267925243348979,0.256187313517031,0.25,0.253314433216029,0.248069875508903,0.291176429138179,0.254112158166394,0.308506969719959,0.357110396836391,0.314250225039475,0.293327033982614,0.378598033775826,0.258785985359472,0.276000283633138,0.314120518320692,0.287165002767435,0.321948167614892
309,0.249752224026247,0.321212572704843,0.312734838105103,0.250281393043158,0.250577585714608,0.29192277632696,0.5,0.448786413264701,0.417637403193705,0.352138834267623,0.28177916050184,0.268112392165561,0.25619638306235,0.25,0.253836536305907,0.248487315367179,0.291952890602641,0.254356578411311,0.308629970043423,0.357186887114017,0.316462181774067,0.295164513274776,0.378802417730281,0.259131471010811,0.278427127084363,0.314954728485821,0.287284974358076,0.322011045992135
310,0.250000881651614,0.321432380412632,0.313000689696995,0.250419824073945,0.250796184425076,0.292259328945585,0.5,0.44896799963657,0.417919167859008,0.352373244579272,0.281951244963366,0.268192973562687,0.256364795629793,0.25,0.253949492471924,0.248600370286774,0.292371440326991,0.254229970874847,0.308403360608618,0.356968387540885,0.318446868717153,0.297004252551571,0.379298063084033,0.259523186188934,0.28084160578672,0.315862611756637,0.287319288285156,0.32184370661385
311,0.249853189986239,0.321767773411894,0.313196415393711,0.250393137061027,0.250730695914501,0.292471176418581,0.5,0.448842824241087,0.417688811095136,0.352390489897537,0.282084144774174,0.268185381013097,0.256443295837209,0.25,0.253887227038451,0.248736563943132,0.292819833284104,0.254155125930107,0.307917832364886,0.356565457570261,0.320307732307581,0.298564813708625,0.379381484381563,0.259747303150309,0.283338990923922,0.316493270656303,0.287442446357528,0.321524303987129
312,0.249758291211249,0.322251900594223,0.313460507037364,0.250481204442099,0.250855803053211,0.292824978219731,0.5,0.44891593259091,0.41764372623791,0.352675290544292,0.282186141757725,0.268366015797797,0.256572397280242,0.25,0.253884227257162,0.24896520148449,0.293239427802234,0.254028697535459,0.307355829482391,0.35615789996614,0.322042561709782,0.300093920716635,0.379455690111427,0.25994384804253,0.285657090600604,0.317561576040904,0.287487512041351,0.321304439312584
313,0.249395365097508,0.322234642842412,0.313181358083471,0.250045746351496,0.250465809324447,0.292482810317673,0.5,0.448905947164026,0.417681957924402,0.352519671955416,0.282153498031905,0.268239517170807,0.256462884612688,0.25,0.253376245314898,0.248728838638604,0.293149490511986,0.25351963652489,0.306515970104426,0.355363020960014,0.32332970264148,0.301038169146186,0.37905475563492,0.259517313902172,0.287533093860806,0.317996822333902,0.2872417997821,0.320656736986081
