wavelength,UV,blue,green
300,0.00181961646161658,0.000740316997426485,0.000931316881155554
301,0.00202882343189228,0.000750316918173713,0.000938701658883869
302,0.00223803040216798,0.000760316838920942,0.000946086436612184
303,0.00244723737244369,0.000770316759668171,0.000953471214340499
304,0.00265644434271939,0.000780316680415400,0.000960855992068814
305,0.00292969613629656,0.000790706970830777,0.000967442325906360
306,0.00320294792987373,0.000801097261246154,0.000974028659743906
307,0.00347619972345090,0.000811487551661531,0.000980614993581452
308,0.00374945151702808,0.000821877842076909,0.000987201327418998
309,0.00409110804663594,0.000832623280836992,0.000992863321648559
310,0.00443276457624381,0.000843368719597076,0.000998525315878119
311,0.00477442110585168,0.000854114158357159,0.00100418731010768
312,0.00511607763545955,0.000864859597117243,0.00100984930433724
313,0.00552409203680629,0.000875883871354575,0.00101448922412571
314,0.00593210643815303,0.000886908145591908,0.00101912914391419
315,0.00634012083949977,0.000897932419829240,0.00102376906370266
316,0.00674813524084650,0.000908956694066573,0.00102840898349113
317,0.00721209879596380,0.000920142399369681,0.00103196719402510
318,0.00767606235108111,0.000931328104672789,0.00103552540455906
319,0.00814002590619841,0.000942513809975897,0.00103908361509303
320,0.00860398946131571,0.000953699515279005,0.00104264182562699
321,0.00910414488146743,0.000964905766354120,0.00104512163995164
322,0.00960430030161916,0.000976112017429236,0.00104760145427629
323,0.0101044557217709,0.000987318268504352,0.00105008126860094
324,0.0106046111419226,0.000998524519579468,0.00105256108292559
325,0.0111123298633141,0.00100958988536082,0.00105404035760289
326,0.0116200485847056,0.00102065525114216,0.00105551963228018
327,0.0121277673060971,0.00103172061692351,0.00105699890695748
328,0.0126354860274885,0.00104278598270486,0.00105847818163478
329,0.0131155124189767,0.00105355783745753,0.00105913085153719
330,0.0135955388104648,0.00106432969221019,0.00105978352143960
331,0.0140755652019530,0.00107510154696286,0.00106043619134201
332,0.0145555915934411,0.00108587340171552,0.00106108886124443
333,0.0149698750903543,0.00109623727613832,0.00106116671780639
334,0.0153841585872675,0.00110660115056111,0.00106124457436835
335,0.0157984420841807,0.00111696502498391,0.00106132243093032
336,0.0162127255810939,0.00112732889940670,0.00106140028749228
337,0.0165254185220342,0.00113726718283791,0.00106122800914240
338,0.0168381114629745,0.00114720546626911,0.00106105573079253
339,0.0171508044039149,0.00115714374970032,0.00106088345244265
340,0.0174634973448552,0.00116708203313152,0.00106071117409278
341,0.0176460859005735,0.00117674148108548,0.00106065816536974
342,0.0178286744562918,0.00118640092903944,0.00106060515664670
343,0.0180112630120101,0.00119606037699339,0.00106055214792366
344,0.0181938515677284,0.00120571982494735,0.00106049913920062
345,0.0182294927069444,0.00121549961242307,0.00106093314812050
346,0.0182651338461604,0.00122527939989878,0.00106136715704038
347,0.0183007749853764,0.00123505918737450,0.00106180116596026
348,0.0183364161245924,0.00124483897485022,0.00106223517488014
349,0.0182225168465776,0.00125549929541198,0.00106349081900711
350,0.0181086175685629,0.00126615961597375,0.00106474646313409
351,0.0179947182905481,0.00127681993653551,0.00106600210726107
352,0.0178808190125334,0.00128748025709728,0.00106725775138804
353,0.0176292979418750,0.00130023624640384,0.00106960835695029
354,0.0173777768712167,0.00131299223571040,0.00107195896251253
355,0.0171262558005584,0.00132574822501697,0.00107430956807477
356,0.0168747347299001,0.00133850421432353,0.00107666017363702
357,0.0165099660734455,0.00135515509498071,0.00108029127116516
358,0.0161451974169908,0.00137180597563790,0.00108392236869331
359,0.0157804287605362,0.00138845685629508,0.00108755346622145
360,0.0154156601040816,0.00140510773695227,0.00109118456374959
361,0.0149705956233001,0.00142808378027757,0.00109620217068972
362,0.0145255311425185,0.00145105982360287,0.00110121977762984
363,0.0140804666617370,0.00147403586692818,0.00110623738456996
364,0.0136354021809554,0.00149701191025348,0.00111125499151008
365,0.0131467018578270,0.00152942139804065,0.00111768064265592
366,0.0126580015346986,0.00156183088582783,0.00112410629380175
367,0.0121693012115702,0.00159424037361500,0.00113053194494759
368,0.0116806008884418,0.00162664986140217,0.00113695759609342
369,0.0111837590019643,0.00167220570816406,0.00114475484794788
370,0.0106869171154868,0.00171776155492594,0.00115255209980234
371,0.0101900752290093,0.00176331740168783,0.00116034935165680
372,0.00969323334253180,0.00180887324844971,0.00116814660351126
373,0.00921858570653697,0.00187171689480102,0.00117723759951238
374,0.00874393807054215,0.00193456054115233,0.00118632859551350
375,0.00826929043454733,0.00199740418750364,0.00119541959151462
376,0.00779464279855250,0.00206024783385495,0.00120451058751574
377,0.00736481506541416,0.00214464986526303,0.00121480421892080
378,0.00693498733227581,0.00222905189667110,0.00122509785032586
379,0.00650515959913747,0.00231345392807918,0.00123539148173092
380,0.00607533186599912,0.00239785595948725,0.00124568511313597
381,0.00570427116706896,0.00250777290461874,0.00125709192772484
382,0.00533321046813881,0.00261768984975023,0.00126849874231371
383,0.00496214976920865,0.00272760679488171,0.00127990555690258
384,0.00459108907027850,0.00283752374001320,0.00129131237149145
385,0.00428451836468638,0.00297601104867668,0.00130376113879255
386,0.00397794765909425,0.00311449835734017,0.00131620990609364
387,0.00367137695350213,0.00325298566600366,0.00132865867339474
388,0.00336480624791001,0.00339147297466714,0.00134110744069584
389,0.00312170210351000,0.00356006277443235,0.00135456006068948
390,0.00287859795910999,0.00372865257419757,0.00136801268068312
391,0.00263549381470999,0.00389724237396278,0.00138146530067675
392,0.00239238967030998,0.00406583217372799,0.00139491792067039
393,0.00220696487662677,0.00426386993500097,0.00140936279769841
394,0.00202154008294356,0.00446190769627394,0.00142380767472643
395,0.00183611528926035,0.00465994545754691,0.00143825255175445
396,0.00165069049557713,0.00485798321881989,0.00145269742878247
397,0.00151441339180689,0.00508209943499134,0.00146815775416120
398,0.00137813628803664,0.00530621565116280,0.00148361807953992
399,0.00124185918426639,0.00553033186733426,0.00149907840491865
400,0.00110558208049615,0.00575444808350571,0.00151453873029738
401,0.00100894346750732,0.00599821779815778,0.00153106916927245
402,0.000912304854518501,0.00624198751280985,0.00154759960824751
403,0.000815666241529678,0.00648575722746192,0.00156413004722258
404,0.000719027628540856,0.00672952694211399,0.00158066048619765
405,0.000652825795783874,0.00698348442457164,0.00159833723880843
406,0.000586623963026892,0.00723744190702929,0.00161601399141921
407,0.000520422130269911,0.00749139938948695,0.00163369074402999
408,0.000454220297512929,0.00774535687194460,0.00165136749664076
409,0.000410364164838702,0.00799736250606151,0.00167028664119776
410,0.000366508032164476,0.00824936814017843,0.00168920578575476
411,0.000322651899490249,0.00850137377429534,0.00170812493031175
412,0.000278795766816023,0.00875337940841225,0.00172704407486875
413,0.000250676624403404,0.00898943858834082,0.00174731162881804
414,0.000222557481990785,0.00922549776826938,0.00176757918276733
415,0.000194438339578166,0.00946155694819795,0.00178784673671662
416,0.000166319197165547,0.00969761612812652,0.00180811429066591
417,0.000148856599339529,0.00990304156199144,0.00182984952363433
418,0.000131394001513510,0.0101084669958564,0.00185158475660275
419,0.000113931403687492,0.0103138924297213,0.00187331998957117
420,9.64688058614736E-05,0.0105193178635862,0.00189505522253959
421,8.59545321113006E-05,0.0106801384264222,0.00191837574763139
422,7.54402583611276E-05,0.0108409589892582,0.00194169627272318
423,6.49259846109547E-05,0.0110017795520941,0.00196501679781497
424,5.44117108607817E-05,0.0111626001149301,0.00198833732290677
425,4.8275707367119E-05,0.0112670460144869,0.00201336406627137
426,4.21397038734562E-05,0.0113714919140438,0.00203839080963597
427,3.60037003797935E-05,0.0114759378136006,0.00206341755300057
428,2.98676968861308E-05,0.0115803837131575,0.00208844429636517
429,2.63889454663879E-05,0.0116202043544189,0.00211529155806162
430,2.29101940466449E-05,0.0116600249956803,0.00214213881975808
431,1.9431442626902E-05,0.0116998456369417,0.00216898608145453
432,1.5952691207159E-05,0.0117396662782031,0.00219583334315099
433,1.40389189881183E-05,0.0117389765272857,0.00222461542323836
434,1.21251467690777E-05,0.0117382867763683,0.00225339750332572
435,1.0211374550037E-05,0.0117375970254509,0.00228217958341309
436,8.2976023309964E-06,0.0117369072745335,0.00231096166350045
