wavelength,UV,green
497,1.18E-05,0.009994223
498,1.07E-05,0.010088965
499,9.67E-06,0.010177319
500,8.75E-06,0.010259096
501,7.90E-06,0.010334115
502,7.13E-06,0.01040223
503,6.43E-06,0.010463304
504,5.80E-06,0.010517202
505,5.22E-06,0.010563797
506,4.70E-06,0.010603003
507,4.23E-06,0.010634743
508,3.80E-06,0.010658941
509,3.41E-06,0.010675532
510,3.06E-06,0.010684494
511,2.75E-06,0.010685816
512,2.46E-06,0.010679487
513,2.21E-06,0.010665507
514,1.97E-06,0.01064392
515,1.77E-06,0.01061478
516,1.58E-06,0.010578141
517,1.41E-06,0.010534069
518,1.26E-06,0.01048267
519,1.12E-06,0.010424061
520,9.99E-07,0.010358359
521,8.90E-07,0.01028569
522,7.92E-07,0.010206218
523,7.04E-07,0.010120116
524,6.26E-07,0.010027556
525,5.55E-07,0.00992872
526,4.93E-07,0.009823819
527,4.37E-07,0.009713072
528,3.87E-07,0.009596699
529,3.43E-07,0.009474924
530,3.03E-07,0.009347996
531,2.68E-07,0.009216168
532,2.37E-07,0.009079694
533,2.09E-07,0.008938832
534,1.84E-07,0.008793854
535,1.63E-07,0.008645034
536,1.43E-07,0.008492649
537,1.26E-07,0.008336974
538,1.11E-07,0.008178293
539,9.76E-08,0.008016886
540,8.58E-08,0.007853039
541,7.53E-08,0.007687034
542,6.61E-08,0.007519149
543,5.80E-08,0.007349662
544,5.08E-08,0.007178851
545,4.45E-08,0.007006993
546,3.89E-08,0.006834351
547,3.39E-08,0.006661185
548,2.96E-08,0.006487759
549,2.58E-08,0.006314328
550,2.25E-08,0.006141131
551,1.96E-08,0.005968404
552,1.71E-08,0.005796381
553,1.49E-08,0.005625292
554,1.30E-08,0.005455343
555,1.13E-08,0.005286735
556,9.78E-09,0.005119669
557,8.48E-09,0.00495434
558,7.35E-09,0.004790916
559,6.37E-09,0.004629559
560,5.51E-09,0.004470433
561,4.77E-09,0.004313692
562,4.12E-09,0.004159466
563,3.57E-09,0.004007876
564,3.08E-09,0.003859044
565,2.66E-09,0.003713086
566,2.29E-09,0.003570089
