wl,uR,B,G,R
532,9.91014388537311E-06,0.002308083601348,0.009560243023683,0.002682386115467
533,9.13338811049883E-06,0.002254067660056,0.009640866119905,0.00262983726142
534,8.35663233562455E-06,0.002200051718764,0.009721489216127,0.002577288407373
535,7.57987656075027E-06,0.002146035777472,0.009802112312349,0.002524739553326
536,7.06370454511397E-06,0.002076872895686,0.009782978307807,0.002401284147249
537,6.54753252947767E-06,0.0020077100139,0.009763844303265,0.002277828741173
538,6.03136051384137E-06,0.001938547132115,0.009744710298722,0.002154373335096
539,5.51518849820507E-06,0.001869384250329,0.00972557629418,0.002030917929019
540,4.99901648256877E-06,0.001800221368543,0.009706442289638,0.001907462522942
541,4.10593587692742E-06,0.001729972476927,0.00962680862085,0.001820426041096
542,3.21285527128606E-06,0.001659723585311,0.009547174952063,0.001733389559251
543,2.3197746656447E-06,0.001589474693694,0.009467541283276,0.001646353077405
544,1.42669406000335E-06,0.001519225802078,0.009387907614488,0.001559316595559
545,5.33613454361989E-07,0.001448976910462,0.009308273945701,0.001472280113714
546,1.13109514107737E-06,0.001385210306379,0.00923143373387,0.001399212550077
547,1.72857682779274E-06,0.001321443702296,0.009154593522038,0.001326144986441
548,2.32605851450812E-06,0.001257677098213,0.009077753310207,0.001253077422805
549,2.9235402012235E-06,0.00119391049413,0.009000913098375,0.001180009859169
550,3.52102188793888E-06,0.001130143890047,0.008924072886544,0.001106942295533
551,3.0588229394161E-06,0.001072286569085,0.008793382074861,0.001098130836886
552,2.59662399089332E-06,0.001014429248122,0.008662691263178,0.001089319378239
553,2.13442504237054E-06,0.00095657192716,0.008532000451495,0.001080507919592
554,1.67222609384776E-06,0.000898714606197,0.008401309639812,0.001071696460945
555,1.21002714532498E-06,0.000840857285235,0.00827061882813,0.001062885002298
556,-2.33448745646914E-07,0.000800712933136,0.008241654056777,0.00107342775253
557,-1.67692463661881E-06,0.000760568581038,0.008212689285425,0.001083970502761
558,-3.1204005275907E-06,0.000720424228939,0.008183724514072,0.001094513252993
559,-4.56387641856259E-06,0.00068027987684,0.00815475974272,0.001105056003225
560,-6.00735230953448E-06,0.000640135524742,0.008125794971368,0.001115598753456
561,-3.01323387889541E-06,0.000607759543576,0.007981974509712,0.001141199738643
562,-1.91154482563375E-08,0.000575383562411,0.007838154048056,0.001166800723829
563,2.97500298238273E-06,0.000543007581245,0.0076943335864,0.001192401709016
564,5.9691214130218E-06,0.00051063160008,0.007550513124744,0.001218002694203
565,8.96323984366087E-06,0.000478255618914,0.007406692663088,0.001243603679389
566,6.54005287190983E-06,0.000462125866623,0.007269869982405,0.001352282879044
567,4.11686590015879E-06,0.000445996114331,0.007133047301722,0.001460962078699
568,1.69367892840774E-06,0.00042986636204,0.006996224621039,0.001569641278354
569,-7.29508043343301E-07,0.000413736609748,0.006859401940356,0.001678320478009
570,-3.15269501509434E-06,0.000397606857457,0.006722579259673,0.001786999677663
571,-2.35052319838448E-06,0.000390292666764,0.006580743400041,0.002195685949143
572,-1.54835138167461E-06,0.000382978476071,0.006438907540409,0.002604372220622
573,-7.46179564964741E-07,0.000375664285379,0.006297071680777,0.003013058492101
574,5.59922517451266E-08,0.000368350094686,0.006155235821145,0.003421744763581
575,8.58164068454994E-07,0.000361035903993,0.006013399961513,0.00383043103506
